sujeto,condicion,canal,potencia_Delta,potencia_Theta,potencia_Mu,potencia_Beta,potencia_Gamma
S001,img_der,F2,6.122093751697595e-11,1.3815880405782604e-11,7.655909834233413e-12,3.219174669871513e-12,6.002594278133817e-13
S001,img_der,F4,5.5643622557521295e-11,1.117722828367723e-11,6.374459925944252e-12,2.7864669997767814e-12,5.184040665541023e-13
S001,img_der,F6,8.493070516708521e-11,1.692311694052935e-11,1.0099472406274338e-11,4.354308878811027e-12,1.5660332285355699e-12
S001,img_der,F8,2.210586815926052e-10,3.0496020624357815e-11,1.4525022391540178e-11,5.539786356412402e-12,2.450988599872825e-12
S001,img_der,FT7,7.016238773006123e-11,1.578213853393729e-11,7.89261058779015e-12,3.4903472494570767e-12,1.7857133354855615e-12
S001,img_der,FT8,1.0711981232284297e-10,2.125145207652815e-11,1.0579820377884104e-11,4.35705898068104e-12,2.0432327236234926e-12
S001,img_der,T7,6.568653992150798e-11,1.737601823420005e-11,8.595922032485678e-12,3.816986097135213e-12,2.3649976064706247e-12
S001,img_der,T8,8.543736328020151e-11,2.000704164726707e-11,9.598322756392061e-12,1.0126158532682732e-11,5.756059609202904e-12
S001,img_der,T9,1.1408360852491023e-10,2.624137909552894e-11,1.2534417997545045e-11,4.001087834923604e-12,1.6341539951274728e-12
S001,img_der,T10,1.5858131344196628e-10,3.252039583493796e-11,1.4783876624215808e-11,7.457137677901988e-12,3.78608183290884e-12
S001,img_der,TP7,6.558902635755523e-11,1.7893925340590648e-11,9.690021683195384e-12,3.744370058907769e-12,1.3910537544866942e-12
S001,img_der,TP8,7.398754407205119e-11,1.669749323002605e-11,8.699873655961868e-12,3.827468048645799e-12,1.8275588433540962e-12
S001,img_der,P7,7.460004563221484e-11,2.1049137033659156e-11,1.1587374953846329e-11,5.212412828583688e-12,1.7313920710063964e-12
S001,img_der,P5,5.968586637826872e-11,1.4260758261950753e-11,9.426500941807793e-12,3.867006356375048e-12,1.0996630083075792e-12
S001,img_der,P3,6.048262353257331e-11,1.1231851714759635e-11,8.924881024018772e-12,3.0991502629046726e-12,9.793195983086472e-13
S001,img_der,P1,7.730904132568693e-11,1.1218388753431257e-11,1.0004466641974194e-11,2.930759525613343e-12,9.756303026874738e-13
S001,img_der,Pz,7.829281145199066e-11,1.0695117569201725e-11,9.837763931920927e-12,2.5590679613341547e-12,9.14949825717195e-13
S001,img_der,P2,7.303784656446095e-11,1.0476816981221267e-11,1.3528018603808896e-11,3.3592572534043377e-12,9.81912026273293e-13
S001,img_der,P4,6.155811900025482e-11,1.0223929141898339e-11,1.1968004197164333e-11,3.55413119353257e-12,1.0674249648457418e-12
S001,img_der,P6,5.970951678761615e-11,1.133534239559285e-11,1.0117498036654966e-11,3.9352430036131825e-12,1.1772605694999003e-12
S001,img_der,P8,7.642044469373183e-11,1.4895548468058505e-11,1.0479577015877676e-11,4.571727788524392e-12,1.620887301583216e-12
S001,img_der,PO7,1.0891023409163142e-10,2.405497052967212e-11,1.6084586379897852e-11,6.820748305416777e-12,1.9672206150487177e-12
S001,img_der,PO3,9.92815570917678e-11,1.9277923738453026e-11,1.4593670274123322e-11,5.575572825733308e-12,1.612510882103525e-12
S001,img_der,POz,1.1322265951134435e-10,1.6033202004509196e-11,1.7345404848913733e-11,4.862446477471523e-12,1.4134699494943527e-12
S001,img_der,PO4,9.62377643567685e-11,1.488003622867361e-11,2.027207247369556e-11,6.146038512787346e-12,1.5494312746709997e-12
S001,img_der,O1,1.3130637843878778e-10,2.3878663246199695e-11,2.179783766699005e-11,9.66508689751737e-12,1.576816146296035e-12
S001,img_der,Oz,1.28491971582113e-10,2.129277989966182e-11,2.0775967170419614e-11,9.061331644729157e-12,1.6397593408002813e-12
S001,img_izq,FC5,5.5953606865784394e-11,1.2220095142947199e-11,8.124776950070974e-12,3.818473028384041e-12,1.7655806309681164e-12
S001,img_izq,FC3,3.5334116340607243e-11,1.0390348247892646e-11,7.53781895574922e-12,3.8033728855007915e-12,1.171782169857903e-12
S001,img_izq,FC1,4.193266091054221e-11,1.3694396821600793e-11,8.180264255101493e-12,3.713323319611569e-12,1.0427837516474288e-12
S001,img_izq,FCz,6.181580949707265e-11,1.931785113549669e-11,1.0010423351009196e-11,4.0115437467703826e-12,1.2912964926493204e-12
S001,img_izq,FC2,4.4597747183870984e-11,1.3915932405790088e-11,8.000593990521381e-12,3.3540855887302443e-12,1.0212372890259003e-12
S001,img_izq,FC4,3.167029078649727e-11,9.355518248828585e-12,6.987059076459012e-12,3.1113728892760844e-12,1.0565036970635738e-12
S001,img_izq,FC6,4.1226437318541174e-11,1.1113849340668094e-11,8.097271640126249e-12,3.811744267182211e-12,2.22183367297535e-12
S001,img_izq,C5,4.485052373064783e-11,1.0046199883523644e-11,6.6280740758775865e-12,3.1829311940635666e-12,1.5356320548504907e-12
S001,img_izq,C3,2.7624044114481773e-11,7.84191587953694e-12,6.6086463711640735e-12,2.5973610374794052e-12,9.365904007781736e-13
S001,img_izq,C1,3.843806930163265e-11,1.0210902862270711e-11,5.2927160072670024e-12,2.143179009078682e-12,8.043182083211588e-13
S001,img_izq,Cz,5.646785402090295e-11,1.4552977546680323e-11,6.3553721420367955e-12,2.6069005573185064e-12,1.1584253987585022e-12
S001,img_izq,C2,6.189085604467664e-11,1.2758955817992908e-11,6.319580960351927e-12,2.380496324571358e-12,8.93471064042595e-13
S001,img_izq,C4,2.6307669377154137e-11,7.883999907018041e-12,5.385987320206756e-12,2.3098375276872254e-12,9.300222750899401e-13
S001,img_izq,C6,3.220892012699236e-11,1.0270075660659998e-11,6.1564540799241606e-12,3.2309181954983412e-12,1.4306521048501575e-12
S001,img_izq,CP5,3.121791404652762e-11,1.041067429135318e-11,9.204743523331717e-12,3.3590795431750184e-12,1.1023458286217676e-12
S001,img_izq,CP3,3.0687219041724195e-11,7.984668603153731e-12,8.183105376824653e-12,2.45629402520403e-12,7.16996781201153e-13
S001,img_izq,CP1,4.355713343651544e-11,8.616687115708257e-12,6.4641818599923805e-12,1.9759678637961206e-12,7.038968753502881e-13
S001,img_izq,CPz,5.7659103139490546e-11,1.0187984178438418e-11,6.181302895880396e-12,2.0289380227738975e-12,8.162452526795932e-13
S001,img_izq,CP2,4.45177046775219e-11,8.554035778375861e-12,5.961451486497855e-12,1.910979469452966e-12,6.520693008836082e-13
S001,img_izq,CP4,3.684205792363204e-11,8.429101258876745e-12,6.817106040358851e-12,2.3324516305206013e-12,6.874543414104751e-13
S001,img_izq,CP6,3.488935242658747e-11,9.953360899777091e-12,6.663368313393906e-12,2.81360967169208e-12,8.318355666792356e-13
S001,img_izq,AFz,7.635591929963677e-11,1.6518988517718234e-11,1.094531358645533e-11,3.4042467685895085e-12,7.028739500364935e-13
S001,img_izq,AF4,9.159423438713883e-11,1.5045791574816063e-11,1.1094091609281526e-11,3.3782662206091033e-12,1.0720219839051056e-12
S001,img_izq,F7,1.3048015409828945e-10,2.1595998192661995e-11,1.3179782702028703e-11,5.628710632643754e-12,3.179354260528573e-12
S001,img_izq,F5,1.245386731571297e-10,2.122221535868727e-11,1.4253751228113908e-11,5.744825841309735e-12,3.0449668003517944e-12
S001,img_izq,F3,4.837991247115317e-11,1.0683527300192048e-11,8.041693231197625e-12,2.697072000439437e-12,5.262731561917412e-13
S001,img_izq,F1,5.93116213971565e-11,1.5057655158613997e-11,1.048664245199313e-11,4.241961103473908e-12,7.650271213964548e-13
S001,img_izq,Fz,6.608481212845343e-11,1.6690621276097866e-11,1.0808940722396498e-11,3.812164107121388e-12,7.188005928015696e-13
S001,img_izq,F2,5.502158366864634e-11,1.28634493545217e-11,9.284485264859977e-12,3.2563225509077227e-12,6.323885004730592e-13
S001,img_izq,F4,4.802237904668043e-11,1.0252523530702005e-11,8.13687147326444e-12,2.787399945584584e-12,5.523225281329321e-13
S001,img_izq,F6,8.117252203515176e-11,1.4917997133396408e-11,1.1065388207820331e-11,4.040126652482874e-12,1.4251894043343375e-12
S001,img_izq,F8,1.272319595627169e-10,2.4580169757125205e-11,1.4281781277786894e-11,4.662162405878365e-12,2.0230063671419827e-12
S001,img_izq,FT7,8.004576569693454e-11,1.6662018767701737e-11,9.34209553644961e-12,3.91948109481222e-12,1.908976489081353e-12
S001,img_izq,FT8,7.104008701370703e-11,1.8437244645235838e-11,1.0174562592196996e-11,4.06120060832252e-12,2.24284929824788e-12
S001,img_izq,T7,7.442575601931636e-11,1.739676241383626e-11,9.190692887466442e-12,4.222706078575649e-12,2.5929362384231864e-12
S001,img_izq,T8,5.860158741268683e-11,1.8231101924984374e-11,9.468111068439084e-12,1.0070807877838196e-11,6.082054611613922e-12
S001,img_izq,T9,1.2237659380868272e-10,2.6301510173525256e-11,1.3210595513777622e-11,4.368714897508755e-12,1.6874577825090714e-12
S001,img_izq,T10,1.084463731009833e-10,3.12688212900063e-11,1.3866797758873822e-11,7.301822220203022e-12,3.949150644242412e-12
S001,img_izq,TP7,5.918470506642601e-11,1.7441074260658792e-11,1.0048282473469989e-11,3.9290731714094426e-12,1.4523094753025962e-12
S001,img_izq,TP8,6.076358542729765e-11,1.7685793116292547e-11,8.567511167097029e-12,4.042831490113918e-12,1.7881299945604255e-12
S001,img_izq,P7,5.436271667955736e-11,1.8758163258560437e-11,1.3096530680366688e-11,5.533529758912134e-12,1.7373659297702797e-12
S001,img_izq,P5,4.167392727067133e-11,1.2788131729896337e-11,1.2914316962324517e-11,4.138120381339834e-12,1.0945217946244435e-12
S001,img_izq,P3,5.016682584578231e-11,1.1194475193673455e-11,1.2647749732938165e-11,3.4575124476314152e-12,9.756481382146977e-13
S001,img_izq,P1,6.216072515669275e-11,1.067050774508109e-11,1.2896387668132086e-11,3.166146053989482e-12,9.459450364089403e-13
S001,img_izq,Pz,6.979012347108467e-11,1.0710036008135036e-11,1.0598878490624948e-11,2.779035434393241e-12,8.95833549925532e-13
S001,img_izq,P2,6.251875346862445e-11,1.1116371222493954e-11,1.4310969573788402e-11,3.5485617029882305e-12,9.60831580509183e-13
S001,img_izq,P4,5.153198086594088e-11,1.100299169754735e-11,1.3185648460755445e-11,3.7806870087202685e-12,1.0580727076338929e-12
S001,img_izq,P6,4.908423019181098e-11,1.2810607439434956e-11,1.211308158493884e-11,4.46961586046814e-12,1.1690377488822467e-12
S001,img_izq,P8,6.180472993583529e-11,1.6954119440970676e-11,1.1753428932600316e-11,5.36699376295548e-12,1.5884058262195075e-12
S001,img_izq,PO7,7.313337970726394e-11,2.1442249490073343e-11,2.267553168895089e-11,6.947863182969072e-12,1.9062427540438616e-12
S001,img_izq,PO3,6.904946597622787e-11,1.7332553792863788e-11,2.0541946479621653e-11,5.759168344379605e-12,1.5387396041084402e-12
S001,img_izq,POz,9.050183603344023e-11,1.543271618449844e-11,2.1218754981122828e-11,5.100401747726146e-12,1.3646212387446657e-12
S001,img_izq,PO4,7.576867703991567e-11,1.6557877399965124e-11,2.5382860509555947e-11,6.894841076086408e-12,1.5415711329377517e-12
S001,img_izq,O1,9.134845829697513e-11,2.1316287910320445e-11,4.0671701543758194e-11,9.955039771971689e-12,1.5382729353633876e-12
S001,img_izq,Oz,9.342856003689245e-11,1.979465984979291e-11,3.420200730660261e-11,9.264123909976683e-12,1.6716419481153526e-12
S001,mov_real_der,FC5,6.87339729734377e-11,1.2016815885608642e-11,6.890338666317494e-12,3.902820580751416e-12,1.7815880879420985e-12
S001,mov_real_der,FC3,4.8860453456268745e-11,9.551285858857495e-12,5.371956130779861e-12,3.944615311519013e-12,1.2005146477770385e-12
S001,mov_real_der,FC1,5.3637993988332114e-11,1.2531412037366787e-11,6.342709153293262e-12,4.132513550103213e-12,1.1509936179462004e-12
S001,mov_real_der,FCz,6.845038266510948e-11,1.7068638477679053e-11,8.845063624772121e-12,4.599971417159185e-12,1.3026683180518218e-12
S001,mov_real_der,FC2,5.2505837232368846e-11,1.3420456195594516e-11,7.575903642798871e-12,4.025935067206691e-12,1.054115213233601e-12
S001,mov_real_der,FC4,4.0462052774671236e-11,1.0404790816956166e-11,6.729041011015963e-12,3.749068595537689e-12,1.1462194360303755e-12
S001,mov_real_der,FC6,6.249896836536755e-11,1.3301455369836817e-11,7.386751985849378e-12,4.103535293926903e-12,1.9473067729070124e-12
S001,mov_real_der,C5,6.075002310198707e-11,1.0106632100269931e-11,5.663790403761815e-12,3.281262663720124e-12,1.5182452081438855e-12
S001,mov_real_der,C3,4.369485427670404e-11,8.269940130997985e-12,4.809270218344723e-12,2.5969387587521603e-12,9.700735862669895e-13
S001,mov_real_der,C1,4.753540116987067e-11,1.0142382225855771e-11,4.743140612185037e-12,2.365205446428724e-12,8.976858916677536e-13
S001,mov_real_der,Cz,6.05547871235676e-11,1.4384393578647095e-11,6.327813671989315e-12,3.0494250682837925e-12,1.295918664833285e-12
S001,mov_real_der,C2,5.6687726392892554e-11,1.2265991628693654e-11,6.259395449196089e-12,2.7978101276791817e-12,8.922742560587053e-13
S001,mov_real_der,C4,3.961455097260438e-11,8.349552428972197e-12,5.952940706578774e-12,2.8673752077169815e-12,9.091734010609045e-13
S001,mov_real_der,C6,5.020754908611982e-11,1.1074342504141793e-11,6.437962794809604e-12,4.190418047677137e-12,1.68774492494881e-12
S001,mov_real_der,CP5,6.124134611645067e-11,1.265523208678693e-11,7.544509552047876e-12,3.1612329829768463e-12,9.917084733195664e-13
S001,mov_real_der,CP3,5.507633409865352e-11,9.16614252186891e-12,6.5547688419665165e-12,2.277124739757728e-12,7.281221640074987e-13
S001,mov_real_der,CP1,5.903056556366162e-11,9.356740802084811e-12,6.099034691381598e-12,2.0999490369633036e-12,7.585482694327061e-13
S001,mov_real_der,CPz,6.974332011257763e-11,1.0928056777642798e-11,6.437694400812931e-12,2.3541730571026223e-12,9.118902308537724e-13
S001,mov_real_der,CP2,5.737331427328506e-11,8.93793999423567e-12,6.211866889945128e-12,2.3199860775736503e-12,6.587579362300363e-13
S001,mov_real_der,CP4,5.539595451280996e-11,8.718038114253446e-12,7.335058794332404e-12,2.944392916715538e-12,7.001087352321384e-13
S001,mov_real_der,CP6,5.687524969733585e-11,1.0756053318906956e-11,7.1067734196153365e-12,3.54205725256881e-12,8.837769496868273e-13
S001,mov_real_der,AFz,1.4870803611531376e-10,1.9424503036009716e-11,1.0558826462579643e-11,3.73730489507346e-12,7.656698878858716e-13
S001,mov_real_der,AF4,2.6370663887420133e-10,2.3237966635034522e-11,1.0674270370035037e-11,4.036662900569101e-12,1.4555656329263673e-12
S001,mov_real_der,F7,1.808445043201932e-10,2.311081055020959e-11,1.1699606936060927e-11,4.619284830326574e-12,2.0219968561881934e-12
S001,mov_real_der,F5,1.9521043214526288e-10,2.4073828626155442e-11,1.2469810218002003e-11,5.444264651635445e-12,1.788561889311265e-12
S001,mov_real_der,F3,8.101512503556409e-11,1.2071933140443543e-11,6.8009543766619344e-12,3.1019639836729892e-12,6.340322317597417e-13
S001,mov_real_der,F1,8.332077788491577e-11,1.531077713114439e-11,8.946127403442877e-12,4.7891760285624065e-12,7.914022701599894e-13
S001,mov_real_der,Fz,8.601595973029817e-11,1.662284743357394e-11,9.783344659091507e-12,4.236236361708534e-12,7.708239411498389e-13
S001,mov_real_der,F2,8.010715192471045e-11,1.396254496674489e-11,8.305453361395133e-12,3.6449169849511626e-12,7.384776357699434e-13
S001,mov_real_der,F4,7.682844342371145e-11,1.1861003862069048e-11,7.090988519558314e-12,3.124138171766131e-12,6.817708286311961e-13
S001,mov_real_der,F6,1.2933176379322115e-10,1.934403082115843e-11,1.0829229106735831e-11,5.698480169609863e-12,2.966243674465577e-12
S001,mov_real_der,F8,2.570817086291592e-10,3.177219303132339e-11,1.4706651735740868e-11,7.239519490701561e-12,4.2524987788842766e-12
S001,mov_real_der,FT7,8.790957450308156e-11,1.6130431137683955e-11,8.631586896303887e-12,4.009086055866043e-12,1.9933317105439656e-12
S001,mov_real_der,FT8,9.957196398453382e-11,1.9764422545659903e-11,1.0545318473113362e-11,5.6792143011455576e-12,3.0273546288493543e-12
S001,mov_real_der,T7,8.051356719913193e-11,1.7914461649135846e-11,9.180209285551834e-12,4.381811277393969e-12,2.3682638983969055e-12
S001,mov_real_der,T8,7.728411222704735e-11,1.8204764613852577e-11,9.819536499379037e-12,1.802521588306712e-11,1.091009263683786e-11
S001,mov_real_der,T9,1.349420474987404e-10,2.7202225046850368e-11,1.283328808135392e-11,4.567786985783465e-12,1.7122893704887932e-12
S001,mov_real_der,T10,1.460944875690259e-10,2.997641537868716e-11,1.5263941132039776e-11,9.272944436780803e-12,4.7313190051808405e-12
S001,mov_real_der,TP7,8.097205281145224e-11,1.951167026362185e-11,9.488626264962542e-12,4.190228481323583e-12,1.3545140831447412e-12
S001,mov_real_der,TP8,8.23679571190031e-11,1.8034451431675414e-11,9.028642208666174e-12,4.5564458944238035e-12,1.841640531290041e-12
S001,mov_real_der,P7,1.0427684116886817e-10,2.2367535062971442e-11,1.2322085125502406e-11,5.7064601721951404e-12,1.7040227063180588e-12
S001,mov_real_der,P5,8.998806024747328e-11,1.616485899665231e-11,1.1042447187683616e-11,4.161233195075912e-12,1.0848009281640423e-12
S001,mov_real_der,P3,8.905165353000659e-11,1.3432934321899174e-11,1.0760237490006762e-11,3.4493749746686854e-12,1.0049584921971287e-12
S001,mov_real_der,P1,9.98997946653433e-11,1.2576484794290174e-11,1.2041003161467785e-11,3.581692775759927e-12,1.0106085821149422e-12
S001,mov_real_der,Pz,9.689577357444905e-11,1.170962818104499e-11,1.0660757818556944e-11,3.210000366019257e-12,9.718915768190555e-13
S001,mov_real_der,P2,9.607476265462202e-11,1.1979364878849916e-11,1.2819100479398005e-11,4.14524855060477e-12,1.081154082163092e-12
S001,mov_real_der,P4,8.738916732212476e-11,1.1712313470606381e-11,1.1467937254649805e-11,4.366019862884275e-12,1.188740086716669e-12
S001,mov_real_der,P6,8.780446718467448e-11,1.3834337777677675e-11,1.0269334118852784e-11,4.645834101819809e-12,1.303452286165916e-12
S001,mov_real_der,P8,1.0037473908438116e-10,1.8850528750702733e-11,1.1056106585090779e-11,5.098297705094854e-12,1.8140140190657024e-12
S001,mov_real_der,PO7,1.4859130396490506e-10,2.5426764831782712e-11,1.901560730540975e-11,7.590042460909058e-12,2.033884461575751e-12
S001,mov_real_der,PO3,1.3922473857734683e-10,2.084888874167717e-11,1.725791168642718e-11,6.312301202500858e-12,1.6859882376715192e-12
S001,mov_real_der,POz,1.5607414281692136e-10,1.7872469994255327e-11,1.756264489702847e-11,5.86326975134189e-12,1.6112063189679203e-12
S001,mov_real_der,PO4,1.3636312130484345e-10,1.932934436263088e-11,1.8929675099117146e-11,7.396534340336748e-12,1.8058855594929256e-12
S001,mov_real_der,O1,1.8868010451013986e-10,2.5478476127268992e-11,2.6306954676447577e-11,1.0529435228361248e-11,1.7614266381872796e-12
S001,mov_real_der,Oz,1.8226704099875432e-10,2.4845094411740438e-11,2.243333289673195e-11,1.0078539004575978e-11,2.0518014437660905e-12
S001,mov_real_izq,FC5,5.944483869309994e-11,1.4039862785764373e-11,7.501615197713975e-12,4.191964969573825e-12,1.8222936538499312e-12
S001,mov_real_izq,FC3,3.521005733873675e-11,1.0385034788751705e-11,6.439148804931868e-12,4.222462046511137e-12,1.2108658405984486e-12
S001,mov_real_izq,FC1,4.076218036348384e-11,1.2717586181144525e-11,7.333384983037194e-12,4.245259223075456e-12,1.181615346459343e-12
S001,mov_real_izq,FCz,5.7299704793509776e-11,1.81187700325994e-11,9.031065317071279e-12,4.5322655561725715e-12,1.4007242250286711e-12
S001,mov_real_izq,FC2,4.79392561048569e-11,1.3561286253250284e-11,7.242275808062175e-12,3.917248869583811e-12,1.0738341727551678e-12
S001,mov_real_izq,FC4,4.020813945007326e-11,1.0393476961644998e-11,6.366924412292598e-12,3.454396260633522e-12,1.0696403437646957e-12
S001,mov_real_izq,FC6,7.078931035289308e-11,1.4025724286607464e-11,7.53788324983722e-12,3.733284411604991e-12,1.8322073044749025e-12
S001,mov_real_izq,C5,6.030538832830422e-11,1.2195972643873828e-11,6.02368859961778e-12,3.3865931027928988e-12,1.5286137890094328e-12
S001,mov_real_izq,C3,3.898413427277779e-11,8.482717534726836e-12,5.750109794795427e-12,2.8416736160330843e-12,1.1073526760226633e-12
S001,mov_real_izq,C1,4.6331464086382066e-11,9.769959032759573e-12,5.46600489271449e-12,2.4377467764514915e-12,1.0103614164719092e-12
S001,mov_real_izq,Cz,6.14127748565003e-11,1.3716975338967289e-11,6.807980397677183e-12,3.069023134737107e-12,1.4485783451838796e-12
S001,mov_real_izq,C2,7.08784825459451e-11,1.4373811533381285e-11,6.737654537613666e-12,2.8371572422147894e-12,1.039064229001085e-12
S001,mov_real_izq,C4,3.409994601248833e-11,8.976001537309288e-12,6.11604306151486e-12,2.598434383643466e-12,9.605121111894877e-13
S001,mov_real_izq,C6,4.8187527585234934e-11,1.2095800559318188e-11,6.636395036723867e-12,3.756349338916017e-12,1.7187451174850677e-12
S001,mov_real_izq,CP5,5.88784204842557e-11,1.282020023650601e-11,7.916322471236463e-12,3.4729278738693404e-12,1.0502259066546554e-12
S001,mov_real_izq,CP3,5.7726218619045076e-11,9.166528673380373e-12,7.527087527919709e-12,2.7082042445874694e-12,8.708480680668222e-13
S001,mov_real_izq,CP1,6.698616865316262e-11,9.334280551615221e-12,7.036816078465284e-12,2.3141090198860334e-12,8.884568542288906e-13
S001,mov_real_izq,CPz,8.062079322864093e-11,1.1114360403823706e-11,7.119921285302516e-12,2.4651975027382273e-12,1.0809872534500288e-12
S001,mov_real_izq,CP2,6.098819003604206e-11,9.604013306039733e-12,6.667369186588346e-12,2.325061107137241e-12,7.791532828180295e-13
S001,mov_real_izq,CP4,5.0687183217022954e-11,9.730349311875082e-12,7.788714199267059e-12,2.785260097905423e-12,7.89363234349289e-13
S001,mov_real_izq,CP6,4.9848397408569656e-11,1.120294456730313e-11,7.63281684739135e-12,3.181342285181608e-12,9.18972473715511e-13
S001,mov_real_izq,AFz,1.800727402123671e-10,1.8565123944536664e-11,1.0460119573794122e-11,3.7981575210400564e-12,7.744646053767406e-13
S001,mov_real_izq,AF4,3.058323725845791e-10,1.9434241526748362e-11,1.0491996209510171e-11,3.853931634179803e-12,1.2884941712644547e-12
S001,mov_real_izq,F7,1.7586077077878583e-10,2.6560222916151444e-11,1.327552668945223e-11,5.819805998852079e-12,2.763970626757273e-12
S001,mov_real_izq,F5,1.7473928210476818e-10,2.457017668058864e-11,1.1772301616805036e-11,5.816739297451964e-12,2.060054448084532e-12
S001,mov_real_izq,F3,8.619094056836675e-11,1.1086293137955465e-11,7.127211309667762e-12,3.3390665102009143e-12,5.479586489715334e-13
S001,mov_real_izq,F1,8.313304755518398e-11,1.5860184274958633e-11,9.470576739302273e-12,5.079354510525826e-12,7.76701779067067e-13
S001,mov_real_izq,Fz,9.137658182598938e-11,1.8086508449372688e-11,1.0083900420247795e-11,4.517979990218034e-12,7.363869227720892e-13
S001,mov_real_izq,F2,9.289396974015232e-11,1.4341517558139518e-11,8.465475627423614e-12,3.896733526598602e-12,6.64257048187954e-13
S001,mov_real_izq,F4,9.030219380748284e-11,1.123925402373105e-11,7.0856255463265675e-12,3.381639622539934e-12,5.925649835523346e-13
S001,mov_real_izq,F6,1.5435024719409086e-10,1.8652655622858483e-11,1.0216245682825156e-11,5.35287114519615e-12,2.5602382101098416e-12
S001,mov_real_izq,F8,2.8937016149659234e-10,3.355503958834183e-11,1.4041538949121089e-11,6.28356450392553e-12,3.5984716941093426e-12
S001,mov_real_izq,FT7,8.377042808162311e-11,1.9299008325798535e-11,9.4705876623258e-12,4.416289709766308e-12,2.14661170819948e-12
S001,mov_real_izq,FT8,1.2445966266338368e-10,2.267207971276329e-11,9.852472604413908e-12,5.134425996250538e-12,2.663907959327914e-12
S001,mov_real_izq,T7,8.050534754485054e-11,2.0429372099871138e-11,9.774075313769458e-12,4.5687380391696575e-12,2.3199093467986753e-12
